Model,Feature_Count,Features,R2,RMSE
Linear_Regression,8,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income",0.6138872583185309,71131.25918417348
Gradient_Boosting,4,"longitude, latitude, housing_median_age, total_rooms",0.5965152246010414,72713.82758913936
Gradient_Boosting,2,"longitude, latitude",0.5933395735207712,72999.41602188711
Gradient_Boosting,3,"longitude, latitude, housing_median_age",0.5876235300444622,73510.66784113891
Ridge_L2,6,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population",0.37300514279231645,90643.23969253413
Lasso_L1,6,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population",0.37299256580800266,90644.14880117653
Linear_Regression,6,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population",0.372987948049749,90644.4825866891
Ridge_L2,7,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households",0.37059523581724296,90817.27004995698
Lasso_L1,7,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households",0.3705329020184619,90821.76703314309
Linear_Regression,7,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households",0.3705100077260439,90823.41865337302
Gradient_Boosting,1,longitude,0.3127565884911112,94898.3633514379
Ridge_L2,5,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms",0.3003544014114351,95750.81587000625
Lasso_L1,5,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms",0.30031984649109245,95753.18036781042
Linear_Regression,5,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms",0.30031090427780815,95753.79224926898
Random_Forest,1,longitude,0.2930056374990464,96252.36413652138
Linear_Regression,4,"longitude, latitude, housing_median_age, total_rooms",0.2737401925479268,97554.97794683282
Lasso_L1,4,"longitude, latitude, housing_median_age, total_rooms",0.27373942371132864,97555.02958387563
Ridge_L2,4,"longitude, latitude, housing_median_age, total_rooms",0.27373268082323476,97555.48245240666
Linear_Regression,3,"longitude, latitude, housing_median_age",0.2531207087356402,98930.1434819043
Lasso_L1,3,"longitude, latitude, housing_median_age",0.2531196925815242,98930.21078075665
Ridge_L2,3,"longitude, latitude, housing_median_age",0.2531109799986968,98930.78780436628
Linear_Regression,2,"longitude, latitude",0.2530243648929398,98936.52403291164
Lasso_L1,2,"longitude, latitude",0.2530231836577773,98936.60225986398
Ridge_L2,2,"longitude, latitude",0.25301394744187067,98937.21392342223
Lasso_L1,1,longitude,0.0017576015160423175,114372.45303979923
Ridge_L2,1,longitude,0.0017575773584451726,114372.45442371343
Linear_Regression,1,longitude,0.0017575657278726675,114372.45508999302
